state,pollster,sponsor,partisan,population,n,start_date,end_date,dem_candidate,rep_candidate,dem_pct,rep_pct,margin,note,source_url
GA,Fox News/Beacon·Shaw,,none,RV,1002,2026-06-23,2026-06-27,Ossoff,Collins,56,43,13,,https://www.foxnews.com/politics/fox-news-poll-early-look-georgia-senate-race
GA,AARP/Fabrizio·Impact,AARP,none,LV,1060,2026-07-13,2026-07-16,Ossoff,Collins,52,43,9,유력투표층,https://thehill.com/homenews/campaign/5986198-ossoff-leads-collins-ga-poll/amp/
NC,NYT/Siena,,none,LV,,2026-06-15,2026-06-29,Cooper,Whatley,50,43,7,6개 주 패키지,https://sri.siena.edu/2026/07/01/new-york-times-siena-polls-in-alaska-iowa-north-carolina-and-ohio/
NC,Catawba/YouGov,,none,,,,2026-06-24,Cooper,Whatley,48,34,14,발표일 기준,https://www.wfae.org/politics/2026-06-24/poll-shows-cooper-leading-whatley-by-wide-margin-in-nc-senate-race
NC,Public Policy Polling,,D,,,,2026-07-13,Cooper,Whatley,48,44,4,민주 성향·공개일 기준,https://www.publicpolicypolling.com/polls/cooper-leads-but-whatley-has-a-path/
TX,NYT/Siena,,none,LV,656,2026-06-19,2026-06-27,Talarico,Paxton,47,47,0,±4.5,https://thehill.com/homenews/campaign/5946853-texas-senate-race-james-talarico-ken-paxton-tied-survey/
TX,UT Austin/Texas Politics Project,,none,,,,2026-06-23,Talarico,Paxton,42,43,-1,발표일 기준,https://www.texastribune.org/2026/06/23/texas-us-senate-poll-ken-paxton-james-talarico-ut-austin/
OH,NYT/Siena,,none,LV,,2026-06-15,2026-06-29,Brown,Husted,47,50,-3,6개 주 패키지,https://sri.siena.edu/2026/07/01/new-york-times-siena-polls-in-alaska-iowa-north-carolina-and-ohio/
OH,AARP/Fabrizio·Impact,AARP,none,LV,800,2026-06-14,2026-06-16,Brown,Husted,48,45,3,±3.5,https://www.aarp.org/press/releases/2026-06-25-ohio-poll-50-voters-key-tight-senate-governor-races/
OH,Emerson College,,none,,,,2026-07-02,Brown,Husted,44,50,-6,게시일 기준,https://emersoncollegepolling.com/ohio-2026/
OH,Fox News,,none,,,2026-05-28,2026-06-01,Brown,Husted,53,45,8,,https://www.newsweek.com/sherrod-brown-jon-husted-ohio-senate-race-poll-12122669
AK,NYT/Siena,,none,LV,593,2026-06-15,2026-06-29,Peltola,Sullivan,45,47,-2,RCV 1차 의향,https://sri.siena.edu/2026/07/01/new-york-times-siena-polls-in-alaska-iowa-north-carolina-and-ohio/
ME,NYT/Siena,,none,LV,,2026-06-19,2026-06-26,Platner,Collins,49,47,2,±4.8·사퇴 전 후보(모델 제외),https://sri.siena.edu/2026/07/01/new-york-times-siena-polls-in-alaska-iowa-north-carolina-and-ohio/
ME,UNH Survey Center,,none,LV,1236,2026-07-15,2026-07-20,Jackson,Collins,49,46,3,사퇴 후 첫 조사 ±2.8,https://thehill.com/homenews/5983301-jackson-leads-collins-poll/
NH,UNH Survey Center,,none,,,,2026-07-01,Pappas,Sununu,47,44,3,발표일 기준,https://scholars.unh.edu/survey_center_polls/944/
NH,NRSC/Peak Insights,NRSC,R,,,,2026-07-10,Pappas,Sununu,43,42,1,내부 조사·공개일 기준,https://www.nrsc.org/press-releases/john-sununu-tied-with-chris-pappas-in-new-nrsc-poll-2026-07-10/
NC,Fox News,,none,RV,1005,2026-07-23,2026-07-27,Cooper,Whatley,53,44,9,±3·공개 조사 최대 격차,https://thehill.com/homenews/campaign/5999436-fox-news-poll-north-carolina-senate/
MI,Glengariff,,none,LV,,2026-07-22,2026-07-24,El-Sayed,Rogers,38.7,49.0,-10.3,본선 가상(8/4 예비 전)·±4,https://thehill.com/homenews/campaign/5994700-rogers-el-sayed-stevens-michigan-senate-poll/
MI,Glengariff,,none,LV,,2026-07-22,2026-07-24,Stevens,Rogers,45.5,44.7,0.8,본선 가상(8/4 예비 전)·±4,https://thehill.com/homenews/campaign/5994700-rogers-el-sayed-stevens-michigan-senate-poll/
TX,TPOR,,D,LV,1048,2026-07-15,2026-07-17,Talarico,Paxton,45,40,5,±3.4·민주 성향·표본 D+11 유의,https://www.texastribune.org/2026/07/28/texas-senate-poll-james-talarico-ken-paxton-july-2026/
TX,Texas Southern Univ./Jordan Research Center,,none,LV,1200,2026-07-27,2026-07-30,Talarico,Paxton,47,45,2,±2.83·8/3 공개·SMS→온라인 자체 실사,https://www.jordanresearchcenter.org/publications/texas-statewide-august2026
TX,Fox News,,none,RV,1006,2026-07-23,2026-07-27,Talarico,Paxton,51,48,3,±3·Beacon(D)·Shaw(R) 합동·투표의욕 최상위층 D+6,https://www.foxnews.com/politics/fox-news-poll-gop-divisions-shape-texas-senate-race
IA,Fox News/Beacon·Shaw,,none,RV,1003,2026-06-23,2026-06-27,Turek,Hinson,50,46,4,±3·호감도 튜렉 +18 대 힌슨 −7,https://www.foxnews.com/politics/fox-news-poll-close-senate-contest-brewing-iowa
IA,NYT/Siena,,none,LV,600,2026-06-15,2026-06-29,Turek,Hinson,46,48,-2,±4.7·4개 주 패키지(AK·IA·NC·OH),https://sri.siena.edu/2026/07/01/new-york-times-siena-polls-in-alaska-iowa-north-carolina-and-ohio/
ME,Hart Research,Senate Majority PAC,D,LV,,2026-07-27,2026-08-01,Jackson,Collins,49,45,4,±3.5·LV 800+·민주계 PAC 스폰서·8/6 보도,https://www.bangordailynews.com/2026/08/06/politics/elections/new-poll-tougher-environment-for-susan-collins/
MI,EPIC-MRA,MIRS,none,LV,600,2026-07-24,2026-07-31,El-Sayed,Rogers,43,46,-3,±4·8/3 공개·경선 후 첫 본선 조사,https://www.wgvunews.org/news/2026-08-03/statewide-poll-examines-potential-november-midterm-elections-candidate-matchups
TX,Bush School/Recon MR Pulse,,none,LV,619,2026-07-27,2026-07-30,Talarico,Paxton,47,43,4,±4.7·8/7 공개·트래커 최대 격차,https://texaspolitics.utexas.edu/blog/texas-2026-u-s-senate-poll-tracker
TX,Wedgewood Polls,,none,LV,800,,2026-08-02,Talarico,Paxton,48,46,2,보도일 기준·실사기간 미공표,https://www.breitbart.com/midterm-election/2026/08/02/poll-texas-leftist-james-talarico-gains-two-point-edge-over-republican-ken-paxton-in-u-s-senate-race/
NC,Catawba College/YouGov,,none,,,,2026-08-06,Cooper,Whatley,,,14,보도일 기준·사이클 최대 격차·세부 미공표,https://www.cbs17.com/news/north-carolina-news/roy-cooper-leads-michael-whatley-by-14-points-in-new-nc-senate-race-poll/
